Stim,CorrResp,Ctx_color,KeyNum,imStim,imStim_r,imStim_g,x_pos,y_pos,Hand,Feedback,Import_Stim.thisRepN,Import_Stim.thisTrialN,Import_Stim.thisN,Import_Stim.thisIndex,Instr_Exp_Bool.thisRepN,Instr_Exp_Bool.thisTrialN,Instr_Exp_Bool.thisN,Instr_Exp_Bool.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,CR_Bool.thisRepN,CR_Bool.thisTrialN,CR_Bool.thisN,CR_Bool.thisIndex,RT_Bool.thisRepN,RT_Bool.thisTrialN,RT_Bool.thisN,RT_Bool.thisIndex,TR_Bool.thisRepN,TR_Bool.thisTrialN,TR_Bool.thisN,TR_Bool.thisIndex,TR_Block.thisRepN,TR_Block.thisTrialN,TR_Block.thisN,TR_Block.thisIndex,TR_Iter.thisRepN,TR_Iter.thisTrialN,TR_Iter.thisN,TR_Iter.thisIndex,TR_Feedback_Bool.thisRepN,TR_Feedback_Bool.thisTrialN,TR_Feedback_Bool.thisN,TR_Feedback_Bool.thisIndex,TR_Penalty_Bool.thisRepN,TR_Penalty_Bool.thisTrialN,TR_Penalty_Bool.thisN,TR_Penalty_Bool.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,stim_key_remap_ctx1,stim_key_remap_ctx2,Remap_Ctx,Remap_Two_Pair,Remap_One_Pair,Instr_TR_text.started,Instr_TR_text.stopped,Instr_TR_Press.keys,Instr_TR_Press.rt,Instr_TR_Press.started,Instr_TR_Press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,Pre_Trial_Circle_Frame.started,Pre_Trial_Circle_Frame.stopped,Symbol,Shape,ctx,Key_Num,Stim_Type,Finger,Block_Type,Remap,Repeat_Count,Trial_Count,Grp_B,Brp_R,Block_Num,Set_Prep_Time,Session,TR_Circle_Frame.started,TR_Circle_Frame.stopped,TR_Circle.started,TR_Circle.stopped,TR_Ctx.started,TR_Ctx.stopped,TR_Stim_Image.started,TR_Stim_Image.stopped,TR_Press.keys,TR_Press.corr,TR_Press.rt,TR_Press.started,TR_Press.stopped,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.342840099998284,None,7,media/ddnb.png,2,3,Symb,l,TR,0,0,2,1,0,1,0.9342362605252681,1,17.544208399980562,17.544208399980562,17.544208399980562,None,17.544208399980562,None,18.193918099976145,None,i,0,1.5252183999982662,17.544208399980562,None,19.138639699987834,None,19.138639699987834,None,19.138639699987834,None,1,1,2020_Dec_10_1131,Context_Learning_Pilot,2020.1.3,59.9548060650625,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.442704599990975,None,4,media/djnb.png,2,0,Symb,u,TR,0,0,3,1,0,1,0.5231735813099344,1,19.644010799995158,19.644010799995158,19.644010799995158,None,19.644010799995158,None,20.694019399990793,None,h,0,1.5289625999866985,19.644010799995158,None,21.211675599974114,None,21.211675599974114,None,21.211675599974114,None,1,1,2020_Dec_10_1131,Context_Learning_Pilot,2020.1.3,59.9548060650625,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.526322899997467,None,5,media/dnnb.png,2,1,Symb,i,TR,0,0,4,1,0,1,0.5119504220376607,1,21.727604899992002,21.727604899992002,21.727604899992002,None,21.727604899992002,None,22.79390719998628,None,h,0,1.5257472000084817,21.727604899992002,None,23.29437499999767,None,23.29437499999767,None,23.29437499999767,None,1,1,2020_Dec_10_1131,Context_Learning_Pilot,2020.1.3,59.9548060650625,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.609522999991896,None,3,media/ddnb.png,1,3,Symb,i,TR,0,0,5,1,0,1,1.319243293629842,1,23.810859399993205,23.810859399993205,23.810859399993205,None,23.810859399993205,None,24.077578699972946,None,i,1,1.4589472999796271,23.810859399993205,None,25.319575799978338,None,25.319575799978338,None,25.319575799978338,None,1,1,2020_Dec_10_1131,Context_Learning_Pilot,2020.1.3,59.9548060650625,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.62626839999575,None,2,media/dinb.png,1,2,Symb,l,TR,0,0,6,1,0,1,1.0722953532428325,1,25.828002399997786,25.828002399997786,25.828002399997786,None,25.828002399997786,None,26.34404789999826,None,l,1,1.5207716999866534,25.828002399997786,None,27.392270099982852,None,27.392270099982852,None,27.392270099982852,None,1,1,2020_Dec_10_1131,Context_Learning_Pilot,2020.1.3,59.9548060650625,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.693131399981212,None,5,media/dnnb.png,2,1,Symb,i,TR,0,0,7,1,0,1,1.2390349094641602,1,27.894095099996775,27.894095099996775,27.894095099996775,None,27.894095099996775,None,28.22754629998235,None,u,0,1.5514870999904815,27.894095099996775,None,29.487021899985848,None,29.487021899985848,None,29.487021899985848,None,1,1,2020_Dec_10_1131,Context_Learning_Pilot,2020.1.3,59.9548060650625,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.792887699994026,None,1,media/dnnb.png,1,1,Symb,u,TR,0,0,8,1,0,1,0.9314292328881334,1,29.994942399993306,29.994942399993306,29.994942399993306,None,29.994942399993306,None,30.660775899974396,None,i,0,1.5300992999982554,29.994942399993306,None,31.557186499994714,None,31.557186499994714,None,31.557186499994714,None,1,1,2020_Dec_10_1131,Context_Learning_Pilot,2020.1.3,59.9548060650625,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.859686999989208,None,0,media/djnb.png,1,0,Symb,h,TR,0,0,9,1,0,1,-0.46451262933822424,1,32.06103630000143,32.06103630000143,32.06103630000143,None,32.06103630000143,None,None,None,h,1,1.6559723999816924,32.06103630000143,None,33.7715267999738,None,33.7715267999738,None,33.7715267999738,None,1,1,2020_Dec_10_1131,Context_Learning_Pilot,2020.1.3,59.9548060650625,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,34.08857490000082,None,h,3.732962799986126,34.08857490000082,None,37.843900199979544,None,1,media/dnnb.png,1,1,Symb,u,TR,0,0,0,1,0,2,1.3694813614707497,1,38.044451499998104,38.044451499998104,38.044451499998104,None,38.044451499998104,None,38.26132900000084,None,l,0,1.6083022999810055,38.044451499998104,None,39.67975619999925,None,39.67975619999925,None,39.67975619999925,None,1,1,2020_Dec_10_1131,Context_Learning_Pilot,2020.1.3,59.9548060650625,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.99314669999876,None,6,media/dinb.png,2,2,Symb,h,TR,0,0,1,1,0,2,0.9958625456391872,1,40.194391799974255,40.194391799974255,40.194391799974255,None,40.194391799974255,None,40.77744549998897,None,i,0,1.5464103000122122,40.194391799974255,None,41.76748159999261,None,41.76748159999261,None,41.76748159999261,None,1,1,2020_Dec_10_1131,Context_Learning_Pilot,2020.1.3,59.9548060650625,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.07638179999776,None,0,media/djnb.png,1,0,Symb,h,TR,0,0,2,1,0,2,-0.38768444972252614,1,42.27758029999677,42.27758029999677,42.27758029999677,None,42.27758029999677,None,None,None,u,0,1.5992259999911766,42.27758029999677,None,43.89481669999077,None,43.89481669999077,None,43.89481669999077,None,1,1,2020_Dec_10_1131,Context_Learning_Pilot,2020.1.3,59.9548060650625,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.209875299973646,None,0,media/djnb.png,1,0,Symb,h,TR,0,0,3,1,0,2,1.2294248374212797,1,44.41096739997738,44.41096739997738,44.41096739997738,None,44.41096739997738,None,44.76116949997959,None,h,1,1.6499036000168417,44.41096739997738,None,46.09987579999142,None,46.09987579999142,None,46.09987579999142,None,1,1,2020_Dec_10_1131,Context_Learning_Pilot,2020.1.3,59.9548060650625,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.41014229998109,None,1,media/dnnb.png,1,1,Symb,u,TR,0,0,4,1,0,2,0.9304689891297026,1,,,,,,,,,,,,,,,,,,,,,,,,,,
